,,,,,,,
Description,Potato,Maize,Cocoa,Coffee,Tea,Avocado,Wheat
Plant density (plants/acre),"1,500 kg seed tubers","20,000 plants",270 trees (4 m × 4 m),500 trees,"6,250 bushes",130 trees (5m x 6m),85 kg of seed
Average production/acre,4400 kg tonnes,24 bags (90 kg),1080 kg dry cocoa beans,3500 kg clean coffee,"3,500 kg green leaf",500 fruits/tree,23 bags (90 kg
Average farm-gate price,KES 50/kg,KES 2500 per 90-kg bag,KES 650/kg dry beans,KES 120/kg clean coffee,KES 50/kg green leaf,KES 10/Fruit,"KES 4,750 per 90-kg bag"
Gross income/acre,"KES 220,000","KES 60,000","KES 702,000","KES 420,000","KES 175,500","KES 650,000","KES 110,000"
Production cost/acre,"KES 40,000","KES 45,000","KES 150,000","KES 120,000","KES 122,500","KES 250,000","KES 50,000"
Estimated net income/acre,"KES 180,000","KES 15,000","KES 552,000","KES 300,000","KES 53,000","KES 400,000","KES 60,000"
Labour requirement (person-days/acre/year),105,40,,98,245,170,10
,,,180,,,,
